Ranking;Pais;Etapa;Pts;GD;Ranking_FIFA
1;England;Campeon;6;4;4
2;Croatia;Subcampeon;6;0;14
3;Germany;Tercer Puesto;6;4;9
4;Colombia;Semifinalistas;9;4;13
5;Tunisia;Cuartos;7;2;37
6;Spain;Cuartos;4;1;2
7;Senegal;Cuartos;4;0;19
8;Austria;Cuartos;4;-1;22
9;Korea Republic;Octavos;6;1;23
10;Egypt;Octavos;6;3;29
11;Ghana;Octavos;6;2;55
12;Japan;Octavos;4;2;17
13;Turkey;Octavos;4;0;26
14;Cabo Verde;Octavos;4;1;59
15;Costa Rica;Octavos;3;-1;36
16;New Zealand;Octavos;3;0;58
17;Argentina;Dieciseisavos;9;7;3
18;Morocco;Dieciseisavos;9;10;11
19;France;Dieciseisavos;7;3;1
20;Australia;Dieciseisavos;7;3;25
21;Saudi Arabia;Dieciseisavos;7;2;51
22;Brazil;Dieciseisavos;6;0;6
23;Belgium;Dieciseisavos;6;1;8
24;Serbia;Dieciseisavos;6;1;27
25;Qatar;Dieciseisavos;6;3;43
26;South Africa;Dieciseisavos;6;1;50
27;Bosnia and Herzegovina;Dieciseisavos;6;4;52
28;Portugal;Dieciseisavos;4;-1;5
29;Canada;Dieciseisavos;4;-3;30
30;Uzbekistan;Dieciseisavos;4;0;47
31;Mexico;Dieciseisavos;3;-1;15
32;Paraguay;Dieciseisavos;3;0;31
33;United States;Fase de Grupos;3;-3;16
34;Iran;Fase de Grupos;3;-4;18
35;Sweden;Fase de Grupos;3;-3;28
36;Nigeria;Fase de Grupos;3;-4;34
37;Czech Republic;Fase de Grupos;3;-1;41
38;Cameroon;Fase de Grupos;3;-1;45
39;Iraq;Fase de Grupos;3;-2;53
40;Haiti;Fase de Grupos;3;-2;57
41;Netherlands;Fase de Grupos;2;-1;7
42;Italy;Fase de Grupos;2;-2;10
43;Uruguay;Fase de Grupos;1;-4;12
44;Denmark;Fase de Grupos;1;-4;20
45;Jordan;Fase de Grupos;1;-4;54
46;Panama;Fase de Grupos;0;-6;32
47;Scotland;Fase de Grupos;0;-8;46
48;DR Congo;Fase de Grupos;0;-3;56
